iter	Passed	Remaining
407	5305	1196
408	5316	1182
409	5328	1169
410	5340	1156
411	5352	1143
412	5364	1130
413	5377	1116
414	5388	1103
415	5400	1090
416	5412	1077
417	5424	1064
418	5436	1050
419	5449	1037
420	5461	1024
421	5473	1011
422	5485	998
423	5497	985
424	5508	972
425	5519	958
426	5532	945
427	5543	932
428	5554	919
429	5566	906
430	5579	893
431	5596	880
432	5612	868
433	5629	856
434	5644	843
435	5656	830
436	5668	817
437	5680	804
438	5692	791
439	5704	777
440	5716	764
441	5728	751
442	5740	738
443	5753	725
444	5765	712
445	5777	699
446	5789	686
447	5801	673
448	5812	660
449	5824	647
450	5836	634
451	5848	621
452	5860	608
453	5872	594
454	5875	581
455	5886	568
456	5898	555
457	5909	541
458	5921	528
459	5934	516
460	5946	503
461	5958	490
462	5970	477
463	5982	464
464	5994	451
465	6006	438
466	6017	425
467	6029	412
468	6042	399
469	6054	386
470	6065	373
471	6076	360
472	6088	347
473	6101	334
474	6113	321
475	6125	308
476	6137	295
477	6149	283
478	6161	270
479	6165	256
480	6177	244
481	6189	231
482	6201	218
483	6213	205
484	6225	192
485	6237	179
486	6249	166
487	6261	153
488	6273	141
489	6285	128
490	6297	115
491	6308	102
492	6320	89
493	6333	76
494	6346	64
495	6359	51
496	6370	38
497	6383	25
498	6395	12
499	6407	0
