iter	RMSE
0	3896.312407
1	3793.589489
2	3694.972305
3	3595.238828
4	3499.442754
5	3407.600767
6	3315.661481
7	3232.426066
8	3147.33538
9	3063.75398
10	2984.540637
11	2906.771548
12	2830.355976
13	2757.260682
14	2686.779931
15	2618.060649
16	2552.294528
17	2491.493276
18	2429.912753
19	2368.44052
20	2311.04635
21	2253.346839
22	2197.378456
23	2143.684331
24	2090.46258
25	2038.430002
26	1989.180113
27	1940.30382
28	1892.952038
29	1847.667947
30	1802.86351
31	1760.848932
32	1722.286756
33	1683.725362
34	1644.686156
35	1607.052683
36	1571.504429
37	1537.146035
38	1503.47225
39	1471.239144
40	1440.771445
41	1411.480366
42	1381.306485
43	1353.016773
44	1324.772
45	1297.209273
46	1270.953067
47	1246.279298
48	1222.009277
49	1198.006785
50	1174.901467
51	1152.481937
52	1131.924117
53	1111.072663
54	1090.708016
55	1071.771557
56	1052.920041
57	1035.131918
58	1018.047556
59	1000.69539
60	984.2173551
61	968.4381447
62	953.1465613
63	938.5594071
64	924.8238561
65	911.5598405
66	898.3503654
67	886.2141109
68	874.8092019
69	862.9719777
70	852.3543337
71	841.4582193
72	831.0972029
73	820.3693787
74	810.2385699
75	801.2713607
76	791.4621239
77	782.7060578
78	774.0701157
79	766.0593535
80	757.946891
81	750.4296672
82	742.9049978
83	735.2701078
84	728.4414448
85	721.8150138
86	715.5406545
87	709.5979427
88	703.7219335
89	698.0885008
90	692.3775108
91	687.2431664
92	681.8588036
93	677.230498
94	672.7008092
95	667.8369366
96	663.4885243
97	659.1894101
98	655.0535868
99	651.1212006
100	647.3214824
101	643.800844
102	640.1804674
103	636.8194496
104	633.35085
105	629.9474926
106	627.0418491
107	624.1666028
108	621.214745
109	618.4687147
110	615.8426652
111	613.0686683
112	610.6733262
113	608.3026464
114	606.0070084
115	603.8433061
116	601.6275566
117	599.6875129
118	597.7908455
119	596.143966
120	594.1193069
121	592.1690792
122	590.2335437
123	588.5808252
124	586.7261842
125	585.1657515
126	583.4431455
127	581.8975538
128	580.5269914
129	579.2238373
130	577.7461575
131	576.4514095
132	575.1421256
133	573.9510576
134	572.6772979
135	571.5927181
136	570.5289778
137	569.3352282
138	567.9936085
139	566.731959
140	565.541354
141	564.4186811
142	563.394476
143	562.5858846
144	561.640598
145	560.7070428
146	559.781015
147	558.8708612
148	557.8965931
149	557.0362776
150	556.1418706
151	555.4149101
152	554.591675
153	553.7612197
154	552.9513113
155	552.1908371
156	551.3427257
157	550.5678463
158	549.9496995
159	549.2193493
160	548.540154
161	547.91571
162	547.2007339
163	546.4104065
164	545.6818158
165	545.1312497
166	544.4733374
167	543.8417129
168	543.3102488
169	542.8149621
170	542.2187512
171	541.7266768
172	541.2171105
173	540.6301456
174	540.1397905
175	539.540587
176	539.1086983
177	538.7684791
178	538.3327941
179	537.9736171
180	537.5501961
181	537.1934993
182	536.6524691
183	536.1912427
184	535.5882507
185	535.2073708
186	534.7173243
187	534.3078752
188	533.7030406
189	533.3332818
190	532.9760788
191	532.5781376
192	532.2931866
193	531.7928271
194	531.3019317
195	530.8168448
196	530.4840805
197	530.2419108
198	529.9248569
199	529.1407934
200	528.7264679
201	528.2442346
202	528.1792328
203	527.9183602
204	527.4840209
205	527.0523025
206	526.7939493
207	526.5264492
208	526.1859903
209	525.8883915
210	525.5843396
211	525.1708768
212	525.0669517
213	524.8115046
