iter	Passed	Remaining
365	3210	2052
366	3218	2043
367	3227	2034
368	3234	2025
369	3242	2015
370	3250	2006
371	3258	1997
372	3267	1988
373	3275	1979
374	3283	1970
375	3291	1960
376	3299	1951
377	3309	1943
378	3317	1934
379	3325	1925
380	3333	1916
381	3343	1908
382	3385	1918
383	3397	1911
384	3407	1902
385	3416	1894
386	3425	1885
387	3435	1877
388	3444	1868
389	3454	1860
390	3463	1851
391	3472	1842
392	3480	1833
393	3490	1824
394	3499	1816
395	3508	1807
396	3516	1798
397	3525	1789
398	3534	1780
399	3543	1771
400	3552	1763
401	3561	1754
402	3570	1745
403	3578	1736
404	3586	1727
405	3595	1717
406	3603	1708
407	3611	1699
408	3619	1690
409	3629	1681
410	3637	1672
411	3645	1663
412	3653	1654
413	3662	1645
414	3670	1636
415	3678	1627
416	3688	1618
417	3697	1609
418	3705	1600
419	3715	1592
420	3724	1583
421	3732	1574
422	3740	1565
423	3749	1556
424	3757	1547
425	3765	1538
426	3774	1529
427	3783	1520
428	3791	1511
429	3800	1502
430	3809	1493
431	3819	1485
432	3827	1476
433	3836	1467
434	3844	1458
435	3853	1449
436	3861	1440
437	3870	1431
438	3877	1422
439	3886	1413
440	3894	1403
441	3902	1394
442	3909	1385
443	3918	1376
444	3926	1367
445	3935	1358
446	3944	1350
447	3952	1340
448	3960	1331
449	3968	1322
450	3976	1313
451	3984	1304
452	3992	1295
453	3999	1286
454	4007	1277
455	4016	1268
456	4024	1259
457	4033	1250
458	4042	1241
459	4050	1232
460	4058	1223
461	4066	1214
462	4074	1205
463	4082	1196
464	4090	1187
465	4098	1178
466	4106	1169
467	4114	1160
468	4122	1151
469	4131	1142
470	4139	1133
471	4147	1124
472	4154	1115
473	4162	1106
474	4171	1097
475	4178	1088
476	4187	1079
477	4195	1070
478	4203	1061
479	4211	1052
480	4219	1043
481	4228	1035
482	4235	1026
483	4243	1017
484	4250	1007
485	4259	999
486	4267	990
487	4275	981
488	4283	972
489	4290	963
490	4298	954
491	4306	945
492	4314	936
493	4322	927
494	4330	918
495	4339	909
496	4347	900
497	4356	892
498	4363	883
499	4372	874
500	4380	865
501	4388	856
502	4397	848
503	4405	839
504	4414	830
505	4422	821
506	4430	812
507	4438	803
508	4446	794
509	4455	786
510	4463	777
511	4471	768
512	4479	759
513	4487	750
514	4496	742
515	4505	733
516	4513	724
517	4523	716
518	4538	708
519	4551	700
520	4562	691
521	4571	683
522	4581	674
523	4590	665
524	4599	657
525	4607	648
526	4616	639
527	4624	630
528	4632	621
529	4640	612
530	4648	604
531	4656	595
532	4664	586
533	4672	577
534	4681	568
535	4689	559
536	4697	551
537	4705	542
538	4713	533
539	4721	524
540	4729	515
541	4737	506
542	4746	498
543	4754	489
544	4762	480
545	4770	471
546	4779	463
547	4786	454
548	4795	445
549	4803	436
550	4811	427
551	4818	419
552	4827	410
553	4835	401
554	4844	392
555	4852	383
556	4860	375
557	4868	366
558	4876	357
559	4884	348
560	4892	340
561	4900	331
562	4908	322
563	4917	313
564	4925	305
565	4932	296
566	4941	287
567	4948	278
568	4957	270
569	4965	261
570	4973	252
571	4981	243
572	4990	235
573	4998	226
574	5006	217
575	5015	208
576	5023	200
577	5031	191
578	5039	182
579	5047	174
580	5055	165
581	5063	156
582	5072	147
583	5080	139
584	5088	130
585	5098	121
586	5106	113
587	5115	104
588	5123	95
589	5131	86
590	5139	78
591	5149	69
592	5158	60
593	5166	52
594	5174	43
595	5183	34
596	5192	26
597	5201	17
598	5209	8
599	5217	0
