iter	RMSE
353	486.770725
354	486.5847264
355	486.5779245
356	486.3640758
357	486.1373432
358	485.9142201
359	485.5052877
360	485.4470213
361	485.1864253
362	484.8958946
363	484.6359799
364	484.4895615
365	484.2458423
366	483.9852723
367	483.7047632
368	483.5778994
369	483.2319962
370	483.1920337
371	482.9976134
372	482.7535201
373	482.5111584
374	482.4321344
375	482.3051962
376	482.2380429
377	481.9635617
378	481.7683197
379	481.6658586
380	481.5479441
381	481.3038693
382	481.1944806
383	481.0812024
384	480.8460706
385	480.6089655
386	480.4206302
387	480.3078016
388	480.2949706
389	480.0216838
390	479.8583034
391	479.7562109
392	479.6382624
393	479.5073828
394	479.3850694
395	479.226344
396	478.9867482
397	478.9469171
398	478.7526961
399	478.6591916
400	478.2819944
401	478.0677608
402	477.8276021
403	477.7251595
404	477.6073909
405	477.328028
406	477.1347122
407	477.0522008
408	476.844424
409	476.5545032
410	476.3806292
411	476.2848639
412	476.121247
413	476.0322495
414	475.9663564
415	475.9595598
416	475.917545
417	475.8487321
418	475.7037435
419	475.5665564
420	475.4907027
421	475.1061881
422	474.9730297
423	474.7929632
424	474.607856
425	474.4463228
426	474.0909086
427	473.9226123
428	473.5875948
429	473.3907464
430	473.221366
431	472.9277907
432	472.7452517
433	472.3677843
434	472.1348133
435	471.9797083
436	471.7842547
437	471.4223058
438	471.2482231
439	471.0842803
440	470.7307184
441	470.5814834
442	470.4307985
443	470.3189189
444	470.1156695
445	469.9925921
446	469.8772066
447	469.7462119
448	469.5362465
449	469.3378173
450	469.1990463
451	469.0836708
452	468.9146333
453	468.7678764
454	468.5657588
455	468.4707114
456	468.3130567
457	468.1852051
458	467.9424777
459	467.7979719
460	467.5596142
461	467.2081148
462	467.0028284
463	466.7085683
464	466.5923984
465	466.4685818
466	466.4045126
467	466.2468889
468	466.0377805
469	465.9249337
470	465.7762001
471	465.7731055
472	465.5775463
473	465.4470493
474	465.1269542
475	464.8916609
476	464.7915216
477	464.6836531
478	464.5386245
479	464.450273
480	464.2629451
481	463.9592051
482	463.8072947
483	463.591561
484	463.4137747
485	463.3131707
486	463.2319382
487	463.1201359
488	463.0160184
489	462.5764551
490	462.4088956
491	462.2486965
492	462.1732766
493	462.0783814
494	461.7307073
495	461.5154785
496	461.2926675
497	461.0823272
498	460.977965
499	460.8820977
500	460.7611208
501	460.5632435
502	460.4713297
503	460.3013728
504	460.0275738
505	459.8956167
506	459.5553415
507	459.2971329
508	459.1655566
509	459.03944
510	458.9340518
511	458.7702136
512	458.6718939
513	458.4488154
514	458.4098841
515	458.0742196
516	457.8469167
517	457.5158427
518	457.3334974
519	457.2098897
520	456.9842622
521	456.8119167
522	456.5928673
523	456.4245681
524	456.058857
525	455.9376679
526	455.8500565
527	455.8113172
528	455.6409189
529	455.2873155
530	455.040711
531	454.7802848
532	454.4362705
533	454.2012104
534	453.8613155
535	453.6872385
536	453.5801228
537	453.4427447
538	453.2461028
539	453.1004134
540	452.8369356
541	452.5472107
542	452.2524694
543	451.9246109
544	451.7276116
545	451.4272583
546	451.1422177
547	451.1207023
548	450.8585941
549	450.7445138
550	450.5060911
551	450.3677524
552	450.121457
553	449.9657602
554	449.875549
555	449.6565387
556	449.4511395
557	449.3254755
558	449.2395664
559	449.1482376
560	448.960795
561	448.7754527
562	448.6418018
563	448.3969722
564	448.1371392
565	447.893732
566	447.7842653
567	447.5785699
568	447.2741
569	447.1200726
570	446.9361188
571	446.8552719
572	446.7298184
573	446.6457357
574	446.4442064
575	446.2192802
576	446.1213519
577	445.9432262
578	445.8618589
579	445.6924613
580	445.5195657
581	445.4497617
582	445.3483667
583	445.3368013
584	445.2039635
585	444.9441433
586	444.8899385
587	444.5854571
588	444.3533056
589	444.1786406
590	443.9983822
591	443.897583
592	443.7363883
593	443.6721007
594	443.3591569
595	443.1686782
596	443.0758078
597	443.0115927
598	442.8679408
599	442.78075
